bugtest,angle,count,time,delta,change,struggling,halfrep
NaN,167.3364809282235,0,9.573939085006714,neutral,False,False,False
NaN,167.86130467205692,0,9.674904823303223,neutral,False,False,False
NaN,167.61311113612393,0,9.741037130355835,neutral,False,False,False
NaN,162.248406236108,0,9.799613952636719,neutral,False,False,False
NaN,165.84319090761878,0,9.871394157409668,neutral,False,False,False
NaN,164.85351218885302,0,9.935441017150879,neutral,False,False,False
NaN,164.31337501981338,0,10.001405954360962,neutral,False,False,False
NaN,163.57964996494854,0,10.066160917282104,neutral,False,False,False
NaN,160.44621140473632,0,10.13425898551941,neutral,False,False,False
NaN,159.91319275172393,0,10.198997020721436,neutral,False,False,False
NaN,151.44372142689014,0,10.26616883277893,neutral,False,False,False
NaN,162.39790743979222,0,10.331527948379517,neutral,False,False,False
NaN,201.5567439752753,0,10.399785995483398,neutral,False,False,False
NaN,199.62449770453966,0,10.466418981552124,neutral,False,False,False
NaN,199.99435067341543,0,10.53273892402649,increasing,False,False,False
NaN,199.02986345220998,0,10.599767208099365,neutral,False,False,False
NaN,200.29340773130485,0,10.66583800315857,neutral,False,False,False
NaN,197.23261727956978,0,10.73278021812439,neutral,False,False,False
NaN,197.54676478977441,0,10.799407005310059,neutral,False,False,False
NaN,196.85632573794348,0,10.866760969161987,neutral,False,False,False
NaN,197.7907386569535,0,10.932271957397461,neutral,False,False,False
NaN,201.4205936115792,0,11.001497983932495,neutral,False,False,False
NaN,198.97147129216017,0,11.06711721420288,neutral,False,False,False
NaN,224.31120390005916,0,11.132663011550903,neutral,False,False,False
NaN,221.5604302635842,0,11.201910018920898,neutral,False,False,False
NaN,233.29928155948474,0,11.26616096496582,neutral,False,False,False
NaN,216.70197265761942,0,11.332627058029175,neutral,False,False,False
NaN,208.86371066595578,0,11.399434089660645,neutral,False,False,False
NaN,204.5181883229533,0,11.466263055801392,neutral,False,False,False
NaN,200.02125451788376,0,11.532420873641968,decreasing,False,False,False
NaN,194.25400509491269,0,11.599597930908203,neutral,False,False,False
1,190.27382289173747,0,11.66530704498291,neutral,False,False,False
1,188.88833394681427,0,11.734040975570679,neutral,False,False,False
1,188.27089182916188,0,11.800262928009033,neutral,False,False,False
1,188.7657914876374,0,11.86616826057434,neutral,False,False,False
1,188.17875803410283,0,11.931977987289429,neutral,False,False,False
1,188.42352490382913,0,11.998787879943848,neutral,False,False,False
1,188.899067340208,0,12.065989971160889,neutral,False,False,False
1,188.59402342309366,0,12.133533954620361,neutral,False,False,False
1,188.63542978363006,0,12.200329065322876,neutral,False,False,False
1,190.6466747314221,0,12.265716075897217,neutral,False,False,False
1,190.8486713223673,0,12.3329439163208,neutral,False,False,False
1,190.98423450764494,0,12.400954961776733,neutral,False,False,False
1,192.19826860194271,0,12.466727018356323,neutral,False,False,False
1,193.11476481447048,0,12.533172130584717,neutral,False,False,False
1,193.34300813391525,0,12.599746942520142,neutral,False,False,False
1,193.95125440433492,0,12.6683669090271,neutral,False,False,False
1,193.8174395118254,0,12.73218321800232,neutral,False,False,False
1,195.32850387638442,0,12.799258947372437,neutral,False,False,False
1,199.03255179849845,0,12.865878105163574,neutral,False,False,False
1,199.36658960977184,0,12.931688070297241,neutral,False,False,False
NaN,192.8129304167308,0,13.00036907196045,neutral,False,False,False
NaN,190.62025231296388,0,13.065482139587402,neutral,False,False,False
NaN,188.8930674897987,0,13.131692171096802,neutral,False,False,False
NaN,187.94802514391554,0,13.199398040771484,neutral,False,False,False
NaN,188.3251079320589,0,13.266046047210693,neutral,False,False,False
NaN,188.66048639443014,0,13.332831144332886,neutral,False,False,False
NaN,188.67336102502156,0,13.399216890335083,neutral,False,False,False
NaN,190.20740628532732,0,13.465008974075317,neutral,False,False,False
NaN,195.3205543540819,0,13.53239107131958,neutral,False,False,False
NaN,199.710763302231,0,13.599549055099487,neutral,False,False,False
NaN,236.26481295937083,0,13.665727138519287,neutral,False,False,False
NaN,251.08818818280474,0,13.733240842819214,neutral,False,False,False
NaN,272.58367166826594,0,13.799396991729736,neutral,False,False,False
NaN,295.1436664614124,0,13.865738153457642,increasing,False,False,False
NaN,310.22687902225715,0.5,13.932064056396484,increasing,False,False,False
NaN,319.70751223661495,0.5,13.998383045196533,increasing,False,False,False
NaN,326.75971377240654,0.5,14.065038919448853,increasing,False,False,False
NaN,334.8395295897445,0.5,14.130960941314697,increasing,False,False,False
NaN,340.78211900203837,0.5,14.19692087173462,increasing,False,False,False
NaN,341.63314756410443,0.5,14.26509404182434,increasing,False,False,False
