bugtest,angle,count,time,delta,change,struggling,halfrep
NaN,343.8136450886899,1.5,17.465509176254272,neutral,False,False,False
NaN,343.07950643437226,1.5,17.529970169067383,neutral,False,False,False
NaN,341.70504884389607,1.5,17.597041130065918,neutral,False,False,False
NaN,334.43772717667696,1.5,17.663542985916138,neutral,False,False,False
NaN,323.46301976488587,1.5,17.731977939605713,neutral,False,False,False
NaN,308.6822851249305,1.5,17.798444986343384,neutral,False,False,False
NaN,294.8805533081009,1.5,17.865283012390137,decreasing,False,False,False
NaN,280.59420937958134,1.5,17.930113077163696,decreasing,False,False,False
NaN,266.8857480094565,1.5,17.996424198150635,decreasing,False,False,False
NaN,253.8279318091597,1.5,18.06379008293152,decreasing,False,False,False
NaN,103.6448181005588,2.0,18.129574060440063,decreasing,False,False,False
NaN,178.5734539328691,2.0,18.196680068969727,decreasing,False,False,False
1,126.3326128200445,2.0,18.277213096618652,decreasing,True,False,False
2,137.52448302425736,2.0,18.36379098892212,neutral,False,False,False
3,141.76994324281324,2.0,18.43029022216797,neutral,False,False,False
3,206.96248366180373,2.0,18.498385190963745,neutral,False,False,False
3,131.4677551844733,2.0,18.5638530254364,neutral,False,False,False
3,125.24352310899454,2.0,18.629810094833374,neutral,False,False,False
3,118.29070563814716,2.0,18.696712255477905,neutral,False,False,False
3,99.00055136764165,2.0,18.763465881347656,decreasing,False,False,False
3,153.26839179350057,2.0,18.830180168151855,decreasing,False,False,False
4,150.7737836559886,2.0,18.89680814743042,decreasing,False,False,False
5,136.34768144607963,2.0,18.96285605430603,half rep,False,False,True
5,7.350308754829498,2.0,19.02967596054077,half rep,False,False,True
NaN,120.11359163163061,2.0,19.09718608856201,neutral,False,False,False
NaN,263.7405766889443,2.0,19.162687063217163,decreasing,False,False,False
NaN,267.2818568100571,2.0,19.229494094848633,neutral,False,False,False
1,269.49654290216813,2.0,19.29964303970337,increasing,False,False,False
1,281.4066300210875,2.0,19.36298894882202,neutral,False,False,False
1,294.5504523892074,2.0,19.429235219955444,neutral,False,False,False
1,304.1575166326004,2.0,19.495959043502808,neutral,False,False,False
1,316.81201681044803,2.5,19.56269907951355,increasing,False,False,False
1,323.2275855089447,2.5,19.630011081695557,increasing,False,False,False
NaN,328.5230263119914,2.5,19.695921182632446,increasing,False,False,False
NaN,336.0283752323148,2.5,19.762739181518555,increasing,False,False,False
NaN,340.13131662915464,2.5,19.829355001449585,increasing,False,False,False
NaN,346.0082137969317,2.5,19.896303176879883,increasing,False,False,False
NaN,349.864475731224,2.5,19.962390899658203,neutral,False,False,False
NaN,350.1137375849132,2.5,20.02902913093567,neutral,False,False,False
NaN,348.76327454310626,2.5,20.095712900161743,neutral,False,False,False
NaN,349.0062274167626,2.5,20.16237998008728,neutral,False,False,False
NaN,349.0108378048349,2.5,20.229033946990967,neutral,False,False,False
NaN,346.957977658919,2.5,20.29545497894287,neutral,False,False,False
NaN,339.8079955244796,2.5,20.36292004585266,neutral,False,False,False
NaN,331.2308098466273,2.5,20.428979873657227,neutral,False,False,False
NaN,328.8725690480285,2.5,20.495540857315063,neutral,False,False,False
NaN,317.0303142303548,2.5,20.56216311454773,decreasing,False,False,False
NaN,303.3128058908108,2.5,20.628786087036133,neutral,False,False,False
